Job Title,Company,Time,Job Responsibilities,Location,Salary,Skills,Apply Here
Python Web Developer,Confidential -,1 day ago,"Expert in Python and Django is a must. | Familiarity with some ORM (Object Relational Mapper) libraries. | Able to integrate multiple data sources and databases into one system. | Understanding of the threading limitations of Python, and multi-process architecture. | Good understanding of server-side templating languages. | Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3. | Understanding of accessibility and security compliance. | Knowledge of user authentication and authorization between multiple systems, servers, and environments. | Understanding of fundamental design principles behind a scalable application. | Familiarity with event-driven programming in Python. | Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform. | Able to create database schemas that represent and support business processes. | Strong unit test and debugging skills. | Proficient understanding of code versioning tools such as Git, Mercurial or SVN. ","6th of October, Giza, Egypt",Confidential,Full timeExperienced  5+ Yrs of Exp  Python  Django  ORM  Web Development  javaScript  HTML5  CSS  Git  Mercurial  SVN,https://wuzzuf.net/jobs/p/5OItWJ2R8Ekg-Python-Web-Developer-Giza-Egypt?o=1&l=sp&t=sj&a=python|search-v3|navbg|spbg
Python Developer,Arabian Advanced Systems,4 days ago,"5+ years of overall software development experience, including full-stack work and at least one year with ReactJS. | willingness and desire to learn. | A mindset for discovery and growth. | Strong communication and collaboration skills. | Experience with Python/Django. | Enthusiasm for Agile/Scrum processes. | Experience with (or interest in) infrastructure of software systems (DevOps / SRE work) ","New Cairo, Cairo, Egypt","Confidential, Family Medical Insurance, Social Insurance",Full timeWork from homeExperienced  5+ Yrs of Exp  Python  Django  ReactJS  Scrum  Agile  Computer Science  Software Development  Information Technology (IT)  DevOps  IT/Software Development,https://wuzzuf.net/jobs/p/2TvMGZsnJNu2-Python-Developer-Arabian-Advanced-Systems-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|navbg|spbg
Asterisk / Python Application Developer,Tqniat Lab L.L.C,2 days ago,"2+ years of experience working on Asterisk platform. | Strong Knowledge in PBX, SIP, RTP protocols. | Strong knowledge of Asterisk Dial-plan, Asterisk Gateway Interface and Asterisk Manager Interface. | Worked on Queue, IVR and Voicemail related applications. | Expert in Asterisk installation, configuration and troubleshooting. | R & D skills in Asterisk. | Experienced with Linux, Nginx, MySQL and Nodejs ","Nasr City, Cairo, Egypt",Confidential,Full timePart timeWork from homeExperienced  2+ Yrs of Exp  Python  Information Technology (IT)  Computer Science  Software Development  Django  Linux  Asterisk  NodeJS  Freepbx  MySQL,https://wuzzuf.net/jobs/p/6VxjCY6E2sYJ-Asterisk-Python-Application-Developer-Tqniat-Lab-L-L-C-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|navbg|spbg
Senior Software Engineer - Backend Python,unilearn,10 days ago,"3+ years of programming experience building and maintaining services, most of them in Python. | Passion. Be passionate about creating clean, highly maintainable, and structured code, supported by unit and integration tests. | System Design, Design patterns & Software Architecture. | SQL / NoSQL databases and Database architecture skills. | Working with and building REST-full API's. | Knowledge of Git. | Troubleshooting. You're good at identifying the source of bugs, know how to dig into the code that may be causing the outstanding issue, and work to resolve any issues that come up. | Curiosity. You're keen on learning new technologies and tools as well as evaluating their pros and cons. You're a pragmatic programmer. You ask questions and are hungry to learn more. ","6th of October, Giza, Egypt",Confidential,Full timePart timeExperienced  3+ Yrs of Exp  Python  API's  Django  SQL  Flask  Big Data  GIT  Python Development  Computer Science  Information Technology (IT),https://wuzzuf.net/jobs/p/RyHMn0nbWOdn-Senior-Software-Engineer---Backend-Python-unilearn-Giza-Egypt?o=4&l=sp&t=sj&a=python|search-v3|navbg|spbg
Backend Engineer (Python) - Remote,Meddy,18 days ago,You are fluent in English. Arabic would be a plus. | You have a minimum of 3+ years of industry experience developing applications in Python. | You have developed and deployed Python applications to production. | You have a good grasp of DevOps processes. | You have an excellent ability to understand and apply software design patterns. | You can communicate very clearly to technical and non-technical team members. ,"Cairo, Egypt",Confidential,Full timeWork from homeExperienced  3 - 8 Yrs of Exp  python  django  AWS  Git  Devops  Information Technology (IT)  Computer Science  Software Development  Backend  Software,https://wuzzuf.net/jobs/p/eUOUCyMUeayo-Backend-Engineer-Python---Remote-Meddy-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|navbg|spbg
Python Developer - Internship,RaccoonPlatform,13 days ago,Fresh Grads ,"Smart Village, Giza, Egypt",Unpaid,InternshipStudent  Information Technology (IT)  Computer Science  Software Development  Python  Engineering  IT/Software Development  Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/3gy5rqdcmFUR-Python-Developer---Internship-RaccoonPlatform-Giza-Egypt?o=6&l=sp&t=sj&a=python|search-v3|navbg|spbg
Back-End Python Developer,Go Plus,20 days ago,"Bachelor뭩 degree in computer programming, computer science, or a related field. | Strong understanding of the web development cycle and programming techniques . | Excellent understanding of specific languages, such as Java, PHP, Python specially | Strong understanding of the web development cycle and programming techniques . | Works on integrating applications. | Familiar with Django framework. ","Maadi, Cairo, Egypt",Confidential,Full timeExperienced  3 - 5 Yrs of Exp  Python  Programming  Development  Django  Computer Science  Software Development  Information Technology (IT)  Software Engineering  Web Development  PHP,https://wuzzuf.net/jobs/p/BpC4M512g5bP-Back-End-Python-Developer-Go-Plus-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|navbg|spbg
Senior Software Engineer - Backend (Python),Confidential -,9 days ago,"BS in Computer Science or a related technical field | 2-4 years of experience | Experience working with Docker is a plus | Excellent knowledge of backend systems design principles, patterns, and best practices | Proficient in designing, implementing, and querying complex database schemas | Good knowledge of different database management systems | Strong communication skills | Highly motivated with positive attitude | Comfortable working in a fast-paced, all-hands-on-deck environment | Prior fintech experience is a plus ","Cairo, Egypt","45,000 to 60,000 EGP per month",Full timeExperienced  2 - 4 Yrs of Exp  Backend  Software Development  Software Engineering  Docker  Database  Fintech  Information Technology (IT)  Computer Science  Computer Engineering  IT/Software Development,https://wuzzuf.net/jobs/p/CURFJuon7Lsj-Senior-Software-Engineer---Backend-Python-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|navbg|spbg
Senior Python Developer - Full Stack,ExaServe LLC,1 month ago,"Bachelor's degree in computer science or any related field. | experience with Python developer; full software development life-cycle, architecting scalable platforms, object oriented programming, database design and agile methodologies | Recent and consistent hands-on experience writing SQL queries | Experience with automation and maintaining various version controls systems such as GIT | Application Development and Object-Oriented Programming and Design | Experience with Requests, Numpy and Pandas Python libraries ","Nasr City, Cairo, Egypt","Confidential, paid  flight tickets & visa",Full timeExperienced  4 - 7 Yrs of Exp  Python Development  Web Applications  Python  Django  Flask  HTML  Firebase  API뭩  Design  Testing,https://wuzzuf.net/jobs/p/u0YYBLmlxs6O-Senior-Python-Developer---Full-Stack-ExaServe-LLC-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|navbg|spbg
Senior Python Developer (Remotly),BeSteam,1 month ago,Teamwork spirit and good communication skills. | Solid experience with Python Mandatory Knowledge of Python Web Framework. | Understanding of accessibility and security compliance. ,"Nasr City, Cairo, Egypt",Confidential,Part timeFreelance / ProjectWork from homeExperienced  4 - 6 Yrs of Exp  Python  Information Technology (IT)  Computer Science  Software Development  Programming  Communication Skills  Framework  Web  Security Compliance  IT/Software Development,https://wuzzuf.net/jobs/p/5F7xVY3oKIO7-Senior-Python-Developer-Remotly-BeSteam-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|navbg|spbg
Senior Software Engineer (Backend - Python),Nana,1 month ago,"3+ years of programming experience building and maintaining services, most of them in Python. | Passion. Be passionate about creating clean, highly maintainable, and structured code, supported by unit and integration tests. | System Design, Design patterns & Software Architecture. | SQL / NoSQL databases and Database architecture skills. | Working with and building REST-full API's. | Knowledge of Git. | Troubleshooting. You're good at identifying the source of bugs, know how to dig into the code that may be causing the outstanding issue, and work to resolve any issues that come up. | Curiosity. You're keen on learning new technologies and tools as well as evaluating their pros and cons. You're a pragmatic programmer. You ask questions and are hungry to learn more. ","Sheraton, Cairo, Egypt","Confidential, Social & Medical Insurance",Full timeExperienced  3+ Yrs of Exp  Python  Computer Science  Software  SQL  Git  API  REST  Django  Frappe  Flask,https://wuzzuf.net/jobs/p/wdCCzZO1Iega-Senior-Software-Engineer-Backend---Python-Nana-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|navbg|spbg
Python Developer,EBE,1 month ago,"Very good command of English Language Teamwork spirit and good communication skills. | Solid experience with Python Mandatory Knowledge of Python Web Framework such as Django (Flask is optional). | Familiarity with some ORM (Object Relational Mapper) libraries Basic understanding of front-end technologies, such as JavaScript, jQuery, HTML5, and CSS3 Able to integrate multiple data sources and databases into one system | Understanding of the threading limitations of Python, and multi-process architecture | Understanding of accessibility and security compliance | Knowledge of user authentication and authorization between multiple systems, servers, and environments | Good experience to create Rest API to Mobile App More than 2 years of experience ","Dokki, Giza, Egypt",Confidential,Full timeExperienced  2+ Yrs of Exp  Software Development  Python  Information Technology (IT)  Computer Science  javaScript  HTML5  Django  CSS3  jQuery  Flask,https://wuzzuf.net/jobs/p/3WwdAYoXa3j8-Python-Developer-EBE-Giza-Egypt?o=12&l=sp&t=sj&a=python|search-v3|navbg|spbg
Python Developer,LavaLoon,1 month ago,"Very good command of English Language | Teamwork spirit and good communication skills. | Solid experience with Python | Knowledge of at least one Python Web Framework such as Django, Flask, etc. | Familiarity with some ORM (Object Relational Mapper) libraries | Basic understanding of front-end technologies, such as JavaScript, jQuery, HTML5, and CSS3 | Able to integrate multiple data sources and databases into one system | Understanding of the threading limitations of Python, and multi-process architecture | Understanding of accessibility and security compliance | Knowledge of user authentication and authorization between multiple systems, servers, and environments | Good experience to create Rest API to Mobile App | More than 2 years of experience ","Nasr City, Cairo, Egypt",Confidential,Full timeExperienced  2+ Yrs of Exp  Python  Software Development  Information Technology (IT)  Computer Science  javaScript  HTML  Django  ORM  ERP  HTML5,https://wuzzuf.net/jobs/p/752I7AL3OM4A-Python-Developer-LavaLoon-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|navbg|spbg
Python Developer - Blender,Confidential -,1 month ago,Proficiency in python. ,"Dokki, Giza, Egypt","Confidential, Medical Insurance",Part timeFreelance / ProjectWork from homeEntry Level  1+ Yrs of Exp  Python  Blender  Blender Scripts  Computer Science  Computer Engineering  Information Technology (IT)  Medical Applications  IT/Software Development  Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/T2oxzrzxxJ2e-Python-Developer---Blender-Giza-Egypt?o=14&l=sp&t=sj&a=python|search-v3|navbg|spbg
"Full Stack Developer - (Python, Django, React)",Centrivision Software,1 month ago,"Expert in Python and Django is a must. | Familiarity with some ORM (Object Relational Mapper) libraries. | Able to integrate multiple data sources and databases into one system. | Understanding of the threading limitations of Python, and multi-process architecture. | Good understanding of server-side templating languages. | Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3. | Understanding of accessibility and security compliance. | Knowledge of user authentication and authorization between multiple systems, servers, and environments. | Understanding of fundamental design principles behind a scalable application. | Familiarity with event-driven programming in Python. | Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform. | Able to create database schemas that represent and support business processes. | Strong unit test and debugging skills. | Proficient understanding of code versioning tools such as Git, Mercurial or SVN. ","Zamalek, Cairo, Egypt",Confidential,Full timeExperienced  2+ Yrs of Exp  Software Development  Linux  javaScript  Django  Python  CSS  HTML  Software Engineering  REST APIs  Information Technology (IT),https://wuzzuf.net/jobs/p/E2Iev5D4MypW-Full-Stack-Developer---Python-Django-React-Centrivision-Software-Cairo-Egypt?o=39&l=sp&t=sj&a=python|search-v3|navbg|spbg
Python Django Developer,Centrivision Software,1 month ago,"5+ years of overall software development experience, including full-stack work and at least one year with ReactJS. | willingness and desire to learn. | A mindset for discovery and growth. | Strong communication and collaboration skills. | Experience with Python/Django. | Enthusiasm for Agile/Scrum processes. | Experience with (or interest in) infrastructure of software systems (DevOps / SRE work) ","Zamalek, Cairo, Egypt","Confidential, Family Medical Insurance, Social Insurance",Full timeStudent  2+ Yrs of Exp  Software Development  Linux  javaScript  Django  Python  CSS  HTML  Software Engineering  REST APIs  Information Technology (IT),https://wuzzuf.net/jobs/p/b3909HECZHqU-Python-Django-Developer-Centrivision-Software-Cairo-Egypt?o=40&l=sp&t=sj&a=python|search-v3|navbg|spbg
